Selskap,Kategori,Type,HQ Land,HQ By,Nettside,Email,Karriereside,LinkedIn,Klienter/Fokus,Relevans for profil,Prioritet,Inngangsstrategi
Royal Falcon Security,CP-firma,Midtøsten,UAE,Abu Dhabi,royalfalconsecurity.ae,,royalfalconsecurity.ae/careers.html,,"GRUNNLAGT av UAE-royals. Opererer i alle emirater",DIREKTE match for royal family protection-bakgrunn,A,Portal + direkte kontakt
Septimius Security,CP-firma,Midtøsten,UAE,Dubai,septimiussecurity.com,,septimiussecurity.com/jobs/,,"520+ operatører. UHNWI, diplomater, myndigheter. SIRA-lisensiert",Krever taktisk kompetanse + flerspråklighet + diplomatisk etikette. PERFEKT match,A,Direkte kontakt
Allied Universal / G4S,CP-firma,Global,USA/UK,Santa Ana/London,aus.com,,jobs.aus.com,linkedin.com/company/allied-universal,"800.000+ ansatte. EP for executives, kjendiser, dignitærer. $58K-$184K",Verdsetter militær. Stort men mindre eksklusivt,B,Portal
Ambrey,CP-firma,Maritim,UK,Hereford,ambrey.com,,ambrey.com/careers/,linkedin.com/company/ambreyltd,"Ledende PMSC. 1000+ guards. Trening in-house",Rekrutterer Royal Marines/Para Reg/SF. God for maritime/hybrid,B,Portal + CrewSmart
Blue Mountain Group,CP-firma,UK,UK,"Carmarthen, Wales",bluemountaingroup.co.uk,,,linkedin.com/company/bluemountaingroup,"Diskret sikkerhet, CP, security chauffeurs. ISO-akkreditert",Støtter serviceleaver-overgang. WhatsApp-nettverk for graduates,B,Nettside kontakt
Salama Fikira / SF Group,CP-firma,Afrika,UK/Kenya,Nottingham/Nairobi,salamafikira.com,,,linkedin.com/company/salamafikiragroup,"Afrika-spesialist (80%+). Mining, olje/gass, EP. 143 ansatte",Har ansatt hundrevis av ex-Armed Forces globalt,B,Direkte kontakt
Black Swan UK,CP-firma,UK,UK,,blackswanuk.com,,,"","CP for executives, HNWI, offentlige figurer. RST. Intelligence-led",Elite CP-firma verdsetter militær bakgrunn,B,Referral / direkte
International SOS,CP-firma,Global,Singapore,Singapore,internationalsos.com,,careers.internationalsos.com,linkedin.com/company/international-sos,"Verdens ledende helse/sikkerhets-risktjeneste. 13.000+ eksperter. 81 security jobs",Verdsetter militær. Mer helse/reise enn ren CP,B,Portal
Pinkerton,CP-firma,USA,USA,"Ann Arbor, MI",pinkerton.com,,pinkerton.com/careers/current-openings,linkedin.com/company/pinkerton,"Grunnlagt 1850. Corporate security, EP. 41 jobber, 15 EP Specialist",Verdsetter LE/militær. Stor corporate klientbase,B,Portal
Hillard Heintze,CP-firma,USA,USA,Chicago,hillardheintze.com,,hillardheintze.com/careers/,linkedin.com/company/hillard-heintze,"Security risk management, EP, cyber. Jensen Hughes-selskap",Rekrutterer fra Secret Service, FBI, militær,B,Portal
World Protection Group,CP-firma,USA,USA,Beverly Hills,worldprotectiongroup.com,,worldprotectiongroup.com/jobs/,,"Full-service EP. Kjendiser, politikere, CEOs. 200+ stab, pool 5000",Sources fra Secret Service + militær dignitary protection,B,Portal
Solace Global,CP-firma,Maritim/HNWI,UK,"Poole, Dorset",solaceglobal.com,,solaceglobal.com/careers-at-solace-global/,linkedin.com/company/solace-global,"Maritim + travel risk + HNWI. 400+ fra EU Militær/SF/Etterretning",Personell fra EU Militær/SF. God match,B,Portal
NEOM,Energi/Mega,Midtøsten,Saudi-Arabia,NEOM,neom.com,,neom.com/en-us/careers,,"Saudi megaprosjekt. 230+ safety/security-roller",Massivt prosjekt, langsiktige kontrakter, konkurransedyktig lønn,B,Portal
Gavin de Becker (Tour),Tour Security,Tour/EP,USA,Los Angeles,gdba.com,,gdba.com/join-our-team,linkedin.com/company/gdbaprotects,"90+ av verdens mest prominente familier. Beskytter tusenvis globalt",Se over - GULLSTANDARDEN,A,Portal
Solutions Group Intl (SGI),Tour Security,Tour Security,USA,,solutionsgroupinternational.com,,Via nettside,linkedin.com/company/solutions-group-international-sgi,"Green Day, Rihanna + store artister. US State Dept diplomatic security",DIREKTE ansetter CPO for artist-turnéer. Military veteran pipeline,A,SkillBridge / direkte
T&M Protection Resources,Tour Security,EP,USA,New York,tmusallc.com,,tmusallc.com/careers/executive-protection-agent,linkedin.com/company/tmusallc,"Secret Service-grade EP. Executives, familier. $45-55/hr",Aktivt ansetter EP-agenter. Søker militær/LE,A,Portal
Force Protection Agency,Tour Security,Tour Security,USA,,forceprotectionagency.com,,forceprotectionagency.com/careers/,,"Musikkbransjens største navn. Military officer-ledet",LEO & Military Officer ledet. Direkte match,A,Portal
Insite Risk Management,Tour Security,EP/Corporate,USA,New York,insiteriskmanagement.com,info@insitesecurity.com,,linkedin.com/company/insite-security,"Celebrity, dignitary, sovereign protection. Armed/licensed agents",Eksperter med government/military training,A,Email CV til info@insitesecurity.com
Warner Music Group,Label,Musikkselskap,USA,New York,wmg.com,,wmg.wd1.myworkdayjobs.com/WMGUS,linkedin.com/company/warner-music-group,"Ed Sheeran, Bruno Mars, Dua Lipa. AKTIV Operations Security Manager-rolle",SØKT NÅ - Operations Security Manager i NYC,A,Portal - SØK NÅ
Live Nation,Promotør,Live Entertainment,USA,Beverly Hills,livenationentertainment.com,,livenation.wd1.myworkdayjobs.com/LNExternalSite,linkedin.com/company/live-nation-entertainment,"Verdens største live underholdning. 1446 åpne jobber",Massiv security-operasjon. Søk director-level,A,Portal
AEG Presents,Promotør,Live Entertainment,USA,Los Angeles,aegpresents.com,,aegworldwide.com/careers/job-search,linkedin.com/company/aeg-live,"#2 globalt. The O2, Staples Center. Security & Safety-kategori",Dedikert Security & Safety kategori,A,Portal (filter Security)
ShowSec,Tour Security,Event Security,UK,,showsec.co.uk,,showsec.co.uk/jobs/,linkedin.com/company/showsec,"35+ år. 450+ venues. 25M mennesker/år",Mer crowd management enn CPO. Fot i døren for UK,B,Portal
WME,Management,Talent Agency,USA,Beverly Hills,wmeagency.com,,wmeimg.wd1.myworkdayjobs.com/ENDEAVOREARLYCAREERS,linkedin.com/company/william-morris-endeavor,"Verdens største talent agency. Del av Endeavor (inkl UFC)",Bruker eksterne CPO-team. Nettverks-target,A,LinkedIn + Portal
CAA,Management,Talent Agency,USA,Los Angeles,caa.com,,caa.wd1.myworkdayjobs.com/Careers,linkedin.com/company/creative-artists-agency,"#1 full-service agency. 3000+ atleter. Absorbert ICM Partners",Koordinerer sikkerhet men bruker kontrakt-CP,A,LinkedIn + Portal
Roc Nation,Management,Music/Sports,USA,New York,rocnation.com,info@rocnation.com,livenation.wd503.myworkdayjobs.com/RNExternalSite,linkedin.com/company/rocnation,"Jay-Z. Rihanna, J. Cole, Megan Thee Stallion + store atleter",Høyest-profil klienter globalt. Miks av in-house + kontrakt,A,Email + Portal
Full Stop Management,Management,Music,USA,Los Angeles,fullstopmgmt.com,info@fullstopmgmt.com,,,"Harry Styles, Eagles, Cardi B, Gwen Stefani. Irving Azoff",ENORME security-behov på turné. Kontrakter CPO direkte,A,Email info@fullstopmgmt.com
Maverick Management,Management,Music,USA,Beverly Hills,maverick.com,,,linkedin.com/company/maverickmanagement,"Madonna, U2, The Weeknd, RHCP. Guy Oseary",Massive turnéer med høye security-behov,A,Via nettside
Wasserman / THE TEAM,Management,Music/Sports,USA,Los Angeles,the.team,hello@the.team,teamwass.wd5.myworkdayjobs.com/WassermanCareers,linkedin.com/company/wasserman,"Brands, Music, Sports. 65 byer, 27 land",Massiv event-operasjon. Security-koordinering,A,Portal + Email
TaP Music,Management,Music,UK,London,tap-music.com,,,linkedin.com/company/tapmusic,"Lana Del Rey, Ellie Goulding, Dermot Kennedy",Store turnéartister som trenger CPO,B,Via nettside
YMU Group,Management,Talent,UK,London,ymugroup.com,Careers@ymugroup.com,ymugroup.com/careers/,linkedin.com/company/ymu,"Entertainment, film, music, radio, TV, sport",Ekstern/kontrakt-sikkerhet,B,Email Careers@ymugroup.com
Greycoat Lumleys,Recruiter,Family Office,UK,London,greycoatlumleys.co.uk,info@greycoatlumleys.co.uk,greycoatlumleys.co.uk/contact-us,linkedin.com/company/greycoat-placements,"25+ år. Private households, estate security. Militær-kandidater foretrukket",Dedikert security-divisjon. Elite militær foretrukket,A,Email CV + registrer
Tiger Recruitment,Recruiter,CP/Family Office,UK,London,tiger-recruitment.com,info@tiger-recruitment.co.uk,tiger-recruitment.com/looking-for-a-job/close-protection-jobs/,linkedin.com/company/tiger-recruitment-ltd,"B Corp. CP for UHNWI, diplomater, royal dignitærer, kjendiser",Dedikert close protection-divisjon. Dubai-kontor,A,Email + Portal
Polo & Tweed,Recruiter,UHNW Security,UK,"London, Mayfair",poloandtweed.com,,poloandtweed.com/vacancies,linkedin.com/company/polo-&-tweed,"A-listers, royals, Midtøsten-royals. 14.000+ kandidater. 40-71k+ GBP",Plasserer for royals og Midtøsten-familier. Direkte match,A,Registrer + CV
Oplu,Recruiter,Family Office,UK,"London, Mayfair",oplu.com,hello@oplu.com,oplu.com/jobs,,"UHNW family office executive search. Head of Security / CP Manager",Eksplisitt rekrutterer Head of Security / CP Manager,A,Email hello@oplu.com
Bespoke Britannia Security,Recruiter,Royal/UHNW,UK,"London, Mayfair",bespokebritanniasecurity.co.uk,,bespokebritanniasecurity.co.uk/security-company/our-team/security-jobs/,linkedin.com/company/bespokebritannia,"20+ år med British Royal Household. 30+ år Security Intelligence",Britisk kongehus + europeisk/Midtøsten royals. PERFEKT match,A,Portal + direkte
Intelligent Protection Intl,Recruiter/CP,CP Provider,UK,London,intelligent-protection.co.uk,info@intelligent-protection.co.uk,intelligent-protection.co.uk/executive-close-protection-jobs.html,,"Midtøsten royal family protection siden 2017. London/Paris/Genève",Søker bi/trilinguale med Royal Protection-erfaring. PERFEKT FIT,A,Email + Portal
Infinite Risks,Recruiter/CP,Global Security,Nederland,Amsterdam,infiniterisks.com,contact@infiniterisks.com,infiniterisks.com/recruitment/,,"Diplomater, royal families, kjendiser, UHNWI i 50+ land",Royal family-beskyttelse i 50+ land. Sterk match,A,Email contact@infiniterisks.com
CourtesyMasters,Recruiter,Royals/UHNW,Nederland,Haag,courtesymasters.com,info@courtesymasters.com,,,"CPO, estate managers for royal households, UHNWI, family offices",CPO spesifikt listet. Royal protokoll + diskresjon,A,Email info@courtesymasters.com
Morgan & Mallet,Recruiter,UHNW Staffing,Internasjonal,Monaco/Dubai/NYC,householdstaff.agency,,householdstaff.agency/contact/,linkedin.com/company/morgan-mallet-international,"1200+ plasseringer/år. 4100+ security pros i Sveits alene",Dedikert residential security-divisjon,A,Portal
Talent Gurus,Recruiter,EP Executive,USA,USA/London/Miami,talent-gurus.com,,talent-gurus.com/executive-protection-recruitment,,"Head of Security søk for UHNW. $140K-$350K+. 12-18 uker per søk",Retained søk under NDA. Highest-paying roller,A,Via nettside
Heritage Staffing,Recruiter,UHNW/Family Office,Sveits,Genève,heritage-staffing.ch,info@heritage-staffing.ch,heritage-staffing.ch/jobs-vacancies/,linkedin.com/company/heritage-staffing,"SECO-lisensiert. 15+ år UHNW. Bodyguards, drivers, family office heads",Bodyguard spesifikt listet. Rigorøs vetting,A,Email info@heritage-staffing.ch
GulfTalent,Jobbportal,Midtøsten,UAE,,gulftalent.com,,gulftalent.com/jobs/title/close-protection-officer,,"Ledende ME job board. CPO-stillinger i UAE, Saudi, Qatar",Aktive CPO-utlysninger. Vesteuropeiske ex-mil foretrukket,A,Registrer + søk
Guildhall,Recruiter,Midtøsten,UAE,,Via GulfTalent,,,,"Executive search MENA. Aktivt ansetter CPO/bodyguard for Dubai-klient",Søker vesteuropeiske kandidater. Aktiv utlysning,A,Via GulfTalent
UNDSS,Intl Org,FN,USA,New York,un.org/en/safety-and-security,,careers.un.org,,"CP for senior FN-tjenestemenn globalt. 131 land",TOPP match. Legion + Royal Guard ideelt. Security Officer Test kreves,A,Portal + SOT-registrering
EU CSDP-misjoner,Intl Org,EU,Belgia,Brussel,eeas.europa.eu,,eeas.europa.eu/eeas/vacancies_en,,"70+ ledige stillinger 2026. Somalia, Georgia, Ukraina, Libya",Norge sekunderer aktivt. Kontakt norsk UD for secondment,A,Via norsk UD/FD
NATO HQ,Intl Org,NATO,Belgia,Brussel,nato.int,,nato.taleo.net,,"Security/protection for NATO HQ. NATO SECRET clearance",Norsk = kvalifisert. Royal Guard = direkte relevant,A,Portal (Taleo)
OSCE,Intl Org,OSCE,Østerrike,Wien,osce.org,,jobs.osce.org,,"Mission Security Officer + Field Security Officer AKTIVE utlysninger",Norsk statsborger kvalifisert. Militær bakgrunn verdsatt,A,Portal - SØK NÅ
UNHCR,Intl Org,FN,Sveits,Genève,unhcr.org,,unhcr.wd3.myworkdayjobs.com/External,,"Feltsikkerhet i høyrisikomiljøer (Sør-Sudan, DRC, Yemen)",Høy-risk felt der CPO-skills er direkte relevant,A,Portal
WFP,Intl Org,FN,Italia,Roma,wfp.org,,wfp.org/careers,,"Flere security-stillinger: Beirut, Cairo, Ukraina, Sør-Sudan",Opererer i verdens farligste lokasjoner,A,Portal
GardaWorld Federal Services,Diplomatisk kontrakt,Contractor,USA/Canada,Washington DC,garda-federal.com,,jobs.garda.com/go/International-Jobs/7695900/,,"Embassy security globalt. 13 stillinger bekreftet. 5 kontinenter",Tilgjengelig for ikke-US borgere. Legion-bakgrunn verdsatt,A,Portal (International Jobs)
NRC,NGO,Norsk NGO,Norge,Oslo,nrc.no,,nrc.no/careers,,"Feltsikkerhet: Palestina, Goma, Kyiv, Myanmar",NORSK organisasjon = stor fordel. Militær bakgrunn verdsatt,A,Portal - sjekk ofte
ICRC,NGO,Humanitær,Sveits,Genève,icrc.org,,careers.icrc.org,,"Konfliktsoner: Ukraina, Syria, Yemen, Sudan. Armed Forces Delegate-rolle",Legion-erfaring er sterk asset. Brobyggerrolle militær→humanitær,A,Portal
TotalEnergies,Energi,Olje/Gass,Frankrike,Paris,totalenergies.com,,careers.totalenergies.com,,"FRANSK selskap. Nigeria, Angola, Mozambique, Libya, Irak",LEGION-BAKGRUNN = stor fordel. Dype bånd til fransk militær/sikkerhet,A,Portal
Constellis WPS III,Diplomatisk kontrakt,Contractor,USA,Herndon VA,constellis.com,,constellis.com/wpsiii/,,"US State Dept ambassadesikkerhet globalt",Sjekk citizenship-krav for internasjonale stillinger,A,Portal
Amentum,Diplomatisk kontrakt,Contractor,USA,Germantown MD,amentum.com,,amentum.com/careers/,,"Ex-DynCorp. 34.000 ansatte i 105 land",Stort men US-fokusert. Sjekk internasjonale muligheter,B,Portal
MSF,NGO,Humanitær,Sveits,Genève,msf.org,,msf.org/jobs,,"Security Advisor, Field Security Coordinator",Krever humanitær erfaring i tillegg til militær,B,Portal
Save the Children,NGO,Humanitær,UK,London,savethechildren.net,,savethechildren.net/careers/apply,,"157+ stillinger på LinkedIn. Security management",Større organisasjon med dedikert security-funksjon,B,Portal
Oxfam,NGO,Humanitær,Kenya,Nairobi,oxfam.org,,jobs.oxfam.org.uk,,"50+ stillinger i 2026. Security Manager aktiv utlysning",Aktiv Security Manager-stilling. $40K-$120K+,B,Portal
IRC,NGO,Humanitær,USA,New York,rescue.org,,careers.rescue.org/us/en/c/safety-security-jobs,,"Dedikert Safety & Security karrierevei",Dedikert security career track,B,Portal
BP,Energi,Olje/Gass,UK,London,bp.com,,bp.com/en/global/corporate/careers.html,,"Irak, Aserbajdsjan, Algerie, Egypt, Angola",Færre konfliktsone-operasjoner enn TotalEnergies,B,Portal
Shell,Energi,Olje/Gass,UK/Nederland,London,shell.com,,shell.com/careers,,"Nigeria (Niger Delta), Irak, Oman",Sterk security-funksjon spesielt Nigeria,B,Portal
Rio Tinto,Mining,Mining,UK/Australia,London,riotinto.com,,jobs.riotinto.com,,"Guinea (Simandou), Madagaskar, Sør-Afrika, Mongolia",39 stillinger listet,B,Portal
CPWorld Conference,Event,Networking,UK,,events.closeprotectionworld.com,,,,CP & Security Conference 7. november 2026,GRATIS for Armed Forces. Nettverking med arbeidsgivere,A,Registrer - admin@closeprotectionworld.com
Campden Wealth Abu Dhabi,Event,Networking,UAE,Abu Dhabi,campdenwealth.com/events,,,,"Global Owners & Family Office Congress 20-22. okt 2026. 300+ familier",Direkte nettverking med family office-eiere,A,Registrer
CloseProtectionJobs.com,Jobbportal,CP Jobs,UK,,closeprotectionjobs.com,,,,Dedikert global CP-jobbportal,Daglig overvåking,A,Registrer
Silent Professionals,Jobbportal,Militær/EP,USA,,silentprofessionals.org,,,,Militær/LE-veteran EP-jobber,Daglig overvåking,A,Registrer
Circuit Magazine,Jobbportal/Nettverk,CP Industry,UK,,circuit-magazine.com,,,,Bransjepublikasjon + jobbportal for CP,Nettverking + jobber,B,Abonner
ReliefWeb,Jobbportal,NGO Security,Internasjonal,,reliefweb.int/jobs,,,,Safety & Security filter for NGO-roller,Ukentlig sjekk,B,Søk med filter
MyStaffHQ,Jobbportal,UHNW Staffing,UK,,mystaffhq.com,,mystaffhq.com/jobs/close-protection-security,,Elite private staff jobs. CP-seksjon,Registrer,B,Portal
Ex-Military Careers,Jobbportal,Militær overgang,UK,,ex-militarycareers.com,,ex-militarycareers.com/jobs/security-safety/close-protection-jobs,,CP-jobber for ex-military,Registrer,B,Portal
